UnitPrice,Discount,ShippingCost,Description,Year,Quarter,Month,DateofWeek,Hour,Country,PaymentMethod,Category,ShipmentProvider,WarehouseLocation,Predicted_Quantity
96.33,0.18,28.52,Backpack,2022,Q4,Dec,Thu,17,Spain,Bank Transfer,Apparel,DHL,Amsterdam,24.94371351
3.52,0.45,13,Backpack,2022,Q4,Nov,Fri,11,Sweden,Credit Card,Apparel,FedEx,Rome,24.94371351
48.24,0.18,6.68,Backpack,2020,Q1,Jan,Sun,4,Belgium,paypall,Stationery,DHL,Amsterdam,24.94371351
44.67,0.28,6.3,Backpack,2020,Q2,Apr,Fri,16,Australia,Bank Transfer,Stationery,FedEx,Amsterdam,24.94371351
27.79,0.48,17.78,Backpack,2021,Q1,Mar,Sun,7,Australia,Bank Transfer,Furniture,UPS,Berlin,24.94371351
62.04,0.49,10.79,Backpack,2021,Q2,Apr,Sun,23,Belgium,Bank Transfer,Electronics,DHL,Paris,24.94371351
34.04,0.49,14.68,Backpack,2021,Q3,Sep,Mon,21,United States,Credit Card,Accessories,Royal Mail,Amsterdam,24.94371351
89.85,0.17,10.12,Backpack,2022,Q1,Jan,Sat,0,Italy,Bank Transfer,Accessories,DHL,Amsterdam,24.94371351
71.1,0.1,25,Backpack,2022,Q2,Apr,Mon,3,Italy,Credit Card,Furniture,DHL,Paris,24.94371351
59.99,0.03,12.75,Backpack,2022,Q3,Sep,Mon,4,Spain,Credit Card,Accessories,UPS,Rome,24.94371351
28.28,0.02,27.48,Backpack,2020,Q2,Apr,Sun,20,Norway,Credit Card,Stationery,Royal Mail,Rome,24.94371351
84.18,0.08,25.22,Backpack,2022,Q3,Jul,Fri,21,Italy,Bank Transfer,Accessories,FedEx,Rome,24.94371351
8.48,0.09,17.36,Backpack,2020,Q1,Mar,Tue,4,Norway,Credit Card,Furniture,DHL,London,24.94371351
88.36,0.48,26.62,Backpack,2020,Q3,Jul,Thu,18,Sweden,Bank Transfer,Furniture,Royal Mail,Paris,24.94371351
33.59,0.46,22.81,Backpack,2021,Q3,Jul,Sun,8,Australia,Bank Transfer,Furniture,FedEx,Berlin,24.94371351
48.46,0.24,29.87,Backpack,2022,Q2,Jun,Sun,6,Portugal,Credit Card,Furniture,FedEx,London,24.94371351
62.71,0.31,8.38,Backpack,2022,Q3,Sep,Wed,2,Italy,Credit Card,Accessories,Royal Mail,Amsterdam,24.94371351
55.25,0.36,18.46,Backpack,2020,Q1,Mar,Wed,4,Italy,paypall,Stationery,DHL,London,24.94371351
48.42,0.22,25.35,Backpack,2020,Q2,Apr,Fri,0,Germany,paypall,Stationery,Royal Mail,Rome,24.94371351
4.52,0.22,18.73,Backpack,2020,Q4,Dec,Thu,20,Netherlands,Bank Transfer,Accessories,UPS,London,24.94371351
16.46,0.28,6.89,Backpack,2021,Q2,Jun,Sun,21,United Kingdom,Bank Transfer,Furniture,UPS,Amsterdam,24.94371351
2.38,0.13,5.83,Backpack,2021,Q3,Aug,Mon,3,Spain,paypall,Furniture,FedEx,London,24.94371351
8.32,0.05,5.12,Backpack,2021,Q3,Jul,Thu,0,Germany,paypall,Apparel,DHL,Amsterdam,24.94371351
38.28,0.37,20.44,Backpack,2022,Q3,Aug,Fri,8,United Kingdom,Bank Transfer,Electronics,Royal Mail,London,24.94371351
24.57,0.02,8.04,Backpack,2022,Q4,Nov,Tue,15,Australia,paypall,Stationery,Royal Mail,London,24.94371351
69.8,0.42,9.93,Backpack,2020,Q1,Mar,Mon,2,United Kingdom,Bank Transfer,Furniture,FedEx,Rome,24.94371351
25.12,0.26,26.77,Backpack,2020,Q2,Apr,Wed,5,Australia,Bank Transfer,Apparel,Royal Mail,London,24.94371351
47.58,0.29,13.41,Backpack,2020,Q3,Aug,Sat,11,Sweden,Credit Card,Apparel,UPS,Rome,24.94371351
94.47,0.13,13.88,Backpack,2021,Q1,Feb,Thu,14,Norway,paypall,Stationery,Royal Mail,Paris,24.94371351
35.54,0.23,9.82,Backpack,2021,Q2,May,Sun,21,Spain,Credit Card,Furniture,FedEx,Berlin,24.94371351
21.87,0.13,9.71,Backpack,2022,Q2,Jun,Sat,20,Spain,Bank Transfer,Accessories,Royal Mail,Paris,24.94371351
27.95,0.21,20.78,Backpack,2022,Q4,Nov,Sun,13,Sweden,Bank Transfer,Stationery,FedEx,Amsterdam,24.94371351
28.82,0.21,19.85,Backpack,2020,Q1,Feb,Mon,2,United Kingdom,Credit Card,Apparel,DHL,Paris,24.94371351
64.59,0.43,26.94,Backpack,2020,Q1,Feb,Mon,6,United Kingdom,Credit Card,Stationery,UPS,Paris,24.94371351
36.45,0.02,28.14,Backpack,2020,Q3,Jul,Wed,1,Norway,Credit Card,Stationery,UPS,London,24.94371351
40.37,0.1,27.7,Backpack,2020,Q3,Jul,Wed,1,United States,paypall,Accessories,DHL,Rome,24.94371351
81.85,0.2,13.82,Backpack,2020,Q3,Sep,Wed,18,United States,Bank Transfer,Accessories,FedEx,Paris,24.94371351
86.58,0.37,22.64,Backpack,2020,Q4,Nov,Wed,1,Spain,Credit Card,Stationery,DHL,Amsterdam,24.94371351
65.73,0.38,17.9,Backpack,2020,Q4,Nov,Wed,8,Belgium,Bank Transfer,Apparel,DHL,,25.08931056
89.2,0.34,25.8,Backpack,2022,Q2,Jun,Tue,19,Norway,Credit Card,Furniture,UPS,,25.43718287
35.42,0.4,16.65,Backpack,2022,Q4,Nov,Thu,2,United Kingdom,Bank Transfer,Furniture,Royal Mail,Amsterdam,24.94371351
93.25,0.38,14.91,Backpack,2020,Q1,Feb,Tue,15,Sweden,Bank Transfer,Accessories,DHL,Berlin,24.94371351
80.1,0.3,16.71,Backpack,2020,Q1,Mar,Tue,10,Norway,Credit Card,Apparel,DHL,London,24.94371351
93.16,0.02,11.57,Backpack,2021,Q3,Aug,Sat,1,Spain,Credit Card,Accessories,UPS,Amsterdam,24.94371351
13.9,0.13,25.19,Backpack,2021,Q4,Oct,Fri,17,Norway,Bank Transfer,Furniture,DHL,Paris,24.94371351
50.83,0.43,9.36,Backpack,2022,Q1,Mar,Mon,21,Italy,Bank Transfer,Stationery,UPS,Rome,24.94371351
94.63,0.23,12.1,Backpack,2022,Q1,Mar,Thu,20,Portugal,paypall,Stationery,FedEx,Amsterdam,24.94371351
45.24,0.35,23.87,Backpack,2022,Q2,Apr,Tue,21,Netherlands,Credit Card,Furniture,UPS,Paris,24.94371351
34.69,0.33,7.58,Backpack,2022,Q3,Jul,Thu,22,Italy,Credit Card,Electronics,DHL,Berlin,24.94371351
39.09,0.36,25.54,Backpack,2022,Q4,Dec,Thu,4,Sweden,Bank Transfer,Accessories,UPS,Paris,24.94371351
43.52,0.05,11.77,Backpack,2022,Q4,Oct,Mon,5,Belgium,Bank Transfer,Furniture,FedEx,Paris,24.94371351
28.65,0.38,7.33,Backpack,2020,Q1,Feb,Tue,22,France,paypall,Electronics,DHL,Berlin,24.94371351
82.52,0.44,15.18,Backpack,2020,Q2,Apr,Sat,11,Spain,Bank Transfer,Electronics,DHL,Rome,24.94371351
74.79,0.45,10.48,Backpack,2020,Q4,Nov,Fri,12,Norway,Credit Card,Furniture,DHL,Berlin,24.94371351
1.36,0.04,13.46,Backpack,2021,Q1,Feb,Wed,2,Norway,paypall,Stationery,DHL,Amsterdam,24.94371351
87.77,0.46,19.09,Backpack,2022,Q1,Jan,Thu,17,Portugal,Credit Card,Electronics,UPS,London,24.94371351
87.03,0.34,18.66,Backpack,2022,Q1,Mar,Wed,22,Germany,paypall,Apparel,Royal Mail,Amsterdam,24.94371351
74.2,0.46,10.46,Backpack,2022,Q2,May,Mon,15,France,Bank Transfer,Electronics,DHL,Rome,24.94371351
27.87,0.5,7.72,Backpack,2022,Q3,Aug,Sat,8,Portugal,Bank Transfer,Stationery,UPS,London,24.94371351
99.08,0.5,24.75,Backpack,2022,Q4,Oct,Mon,20,Italy,paypall,Electronics,DHL,Berlin,24.94371351
47.75,0.01,11.38,Backpack,2022,Q4,Oct,Sun,1,Italy,Credit Card,Stationery,UPS,London,24.94371351
14.21,0.39,23.34,Backpack,2020,Q1,Jan,Mon,21,Germany,Credit Card,Apparel,UPS,Paris,24.94371351
91.29,0.28,5.57,Backpack,2020,Q2,Jun,Wed,13,Portugal,paypall,Stationery,UPS,Amsterdam,24.94371351
63.19,0.27,13.13,Backpack,2020,Q4,Nov,Mon,9,Germany,paypall,Accessories,Royal Mail,Amsterdam,24.94371351
28.3,0.37,24.38,Backpack,2021,Q3,Aug,Tue,18,Germany,Credit Card,Apparel,DHL,London,24.94371351
53.29,0.06,18.36,Backpack,2021,Q3,Jul,Wed,19,United Kingdom,Bank Transfer,Stationery,Royal Mail,Paris,24.94371351
20.99,0.48,18.76,Backpack,2022,Q1,Feb,Mon,22,Norway,paypall,Electronics,FedEx,Berlin,24.94371351
31.43,0.5,11.72,Backpack,2020,Q3,Jul,Tue,21,Australia,paypall,Apparel,Royal Mail,Rome,24.94371351
42.99,0.27,8,Backpack,2020,Q3,Sep,Mon,7,Norway,Bank Transfer,Accessories,UPS,Amsterdam,24.94371351
94.8,0.39,22.98,Backpack,2021,Q2,May,Mon,16,Sweden,Credit Card,Electronics,DHL,Berlin,24.94371351
19.98,0.2,8.07,Backpack,2021,Q3,Sep,Wed,2,Belgium,Credit Card,Furniture,Royal Mail,Amsterdam,24.94371351
32.28,0.13,16.2,Backpack,2022,Q2,Apr,Tue,21,Italy,Credit Card,Apparel,UPS,Paris,24.94371351
67.85,0.13,10.77,Backpack,2022,Q2,Jun,Wed,6,Sweden,paypall,Electronics,FedEx,Paris,24.94371351
33.97,0.19,24.8,Backpack,2022,Q3,Jul,Fri,14,Norway,Bank Transfer,Apparel,DHL,London,24.94371351
38.97,0.38,19.72,Backpack,2020,Q1,Jan,Tue,15,Australia,paypall,Accessories,FedEx,Rome,24.94371351
4.29,0.42,11.23,Backpack,2020,Q3,Sep,Fri,20,Netherlands,paypall,Electronics,UPS,London,24.94371351
98.38,0.08,12.99,Backpack,2020,Q4,Oct,Mon,8,Sweden,Credit Card,Accessories,DHL,London,24.94371351
55.2,0.07,12.22,Backpack,2021,Q1,Feb,Fri,20,Sweden,paypall,Apparel,FedEx,Amsterdam,24.94371351
23.84,0.42,27.12,Backpack,2021,Q1,Mar,Thu,11,Spain,Credit Card,Stationery,UPS,Amsterdam,24.94371351
51.32,0.48,5.44,Backpack,2022,Q1,Feb,Fri,23,Spain,paypall,Furniture,Royal Mail,Amsterdam,24.94371351
29.05,0.39,11.16,Backpack,2020,Q1,Mar,Fri,23,Portugal,paypall,Furniture,Royal Mail,London,24.94371351
53.89,0.38,21.38,Backpack,2020,Q2,Jun,Tue,3,Belgium,paypall,Stationery,Royal Mail,Berlin,24.94371351
8.36,0.5,27.79,Backpack,2020,Q4,Oct,Thu,16,Spain,Credit Card,Electronics,FedEx,Berlin,24.94371351
3.39,0.09,19.32,Backpack,2021,Q1,Jan,Tue,8,Norway,Bank Transfer,Accessories,FedEx,Amsterdam,24.94371351
57.37,0.06,25.05,Backpack,2021,Q3,Aug,Mon,12,Norway,Credit Card,Furniture,FedEx,Berlin,24.94371351
40.93,0.36,14.24,Backpack,2021,Q3,Sep,Sun,4,Germany,Bank Transfer,Stationery,FedEx,Paris,24.94371351
63.47,0.05,9.99,Backpack,2021,Q4,Dec,Wed,12,Australia,Credit Card,Electronics,FedEx,London,24.94371351
68.95,0.39,12.53,Backpack,2022,Q2,Apr,Fri,12,United States,paypall,Apparel,DHL,Amsterdam,24.94371351
22.49,0.45,15.59,Backpack,2020,Q1,Feb,Sun,13,Spain,Credit Card,Accessories,UPS,Berlin,24.94371351
78.24,0.04,21.17,Backpack,2020,Q2,Jun,Fri,23,Australia,Bank Transfer,Electronics,DHL,Paris,24.94371351
49.9,0.32,18.17,Backpack,2020,Q2,Jun,Thu,8,Germany,Bank Transfer,Electronics,UPS,Berlin,24.94371351
69.12,0.41,27.65,Backpack,2020,Q3,Aug,Wed,23,United States,Bank Transfer,Electronics,Royal Mail,Rome,24.94371351
73.21,0.18,11.17,Backpack,2020,Q3,Sep,Tue,22,Netherlands,Credit Card,Apparel,UPS,Amsterdam,24.94371351
46.44,0.25,14.28,Backpack,2020,Q4,Dec,Mon,18,Norway,Credit Card,Stationery,FedEx,Amsterdam,24.94371351
29.86,0.24,13.29,Backpack,2021,Q1,Mar,Wed,18,United Kingdom,Credit Card,Apparel,UPS,Paris,24.94371351
17.06,0.32,15.83,Backpack,2022,Q2,May,Sat,21,Belgium,paypall,Accessories,UPS,London,24.94371351
99.31,0.33,23.66,Backpack,2022,Q2,May,Wed,17,Portugal,Credit Card,Accessories,FedEx,Rome,24.94371351
20.27,0.41,27.12,Backpack,2020,Q1,Feb,Tue,2,Portugal,paypall,Apparel,Royal Mail,Berlin,24.94371351
5.62,0.27,29.57,Backpack,2020,Q1,Jan,Sat,23,Netherlands,paypall,Electronics,UPS,Rome,24.94371351
58.66,0.34,9.32,Backpack,2020,Q1,Mar,Mon,9,Sweden,Bank Transfer,Electronics,Royal Mail,Berlin,24.94371351
89.15,0.12,23.86,Backpack,2020,Q3,Aug,Fri,12,Spain,paypall,Electronics,FedEx,Paris,24.94371351
9.49,0.26,7.27,Backpack,2020,Q3,Jul,Sat,21,Belgium,paypall,Apparel,FedEx,Paris,24.94371351
70.6,0.05,10.91,Backpack,2020,Q4,Nov,Tue,13,Norway,Credit Card,Accessories,Royal Mail,Amsterdam,24.94371351
86.28,0.05,20.52,Backpack,2021,Q2,Jun,Tue,17,United Kingdom,Credit Card,Apparel,DHL,Rome,24.94371351
65.57,0.16,24.78,Backpack,2021,Q3,Sep,Sat,18,Norway,Credit Card,Furniture,FedEx,Amsterdam,24.94371351
48.59,0.48,5.53,Backpack,2022,Q1,Mar,Sat,3,France,Credit Card,Apparel,FedEx,Amsterdam,24.94371351
8.91,0.09,19.33,Backpack,2022,Q2,Jun,Thu,13,Portugal,Bank Transfer,Accessories,UPS,Amsterdam,24.94371351
40.73,0.18,5.37,Backpack,2022,Q2,Jun,Tue,1,United States,Credit Card,Electronics,DHL,Paris,24.94371351
60.18,0.14,6.23,Backpack,2022,Q3,Sep,Sun,14,Italy,Bank Transfer,Accessories,Royal Mail,Paris,24.94371351
53.54,0.12,17.13,Backpack,2022,Q4,Oct,Fri,9,France,paypall,Furniture,Royal Mail,London,24.94371351
74.54,0.29,11.67,Backpack,2020,Q3,Jul,Thu,14,Italy,Bank Transfer,Electronics,Royal Mail,Rome,24.94371351
40.4,0.01,28.52,Backpack,2021,Q1,Mar,Mon,19,Australia,Bank Transfer,Accessories,Royal Mail,London,24.94371351
81.06,0.26,24.07,Backpack,2021,Q3,Sep,Fri,20,France,Bank Transfer,Electronics,Royal Mail,Amsterdam,24.94371351
28.67,0.41,14.08,Backpack,2021,Q4,Nov,Tue,21,Norway,Credit Card,Furniture,Royal Mail,Amsterdam,24.94371351
72.98,0.29,15.55,Backpack,2021,Q4,Oct,Thu,0,Spain,Bank Transfer,Apparel,FedEx,London,24.94371351
96.1,0.3,19.32,Backpack,2022,Q1,Feb,Tue,9,Portugal,paypall,Accessories,UPS,Rome,24.94371351
38.02,0.28,24.03,Backpack,2022,Q4,Nov,Mon,15,Portugal,Bank Transfer,Apparel,Royal Mail,,25.43718287
89.55,0.04,7.89,Backpack,2022,Q4,Nov,Sun,4,France,Bank Transfer,Stationery,UPS,Paris,24.94371351
25.01,0.1,7.52,Backpack,2020,Q1,Jan,Thu,20,Portugal,Bank Transfer,Electronics,Royal Mail,London,24.94371351
51.84,0.28,9.87,Backpack,2020,Q1,Mar,Mon,1,Italy,Credit Card,Furniture,DHL,London,24.94371351
25.03,0.05,19.91,Backpack,2020,Q1,Mar,Thu,4,Norway,Credit Card,Apparel,UPS,Rome,24.94371351
25.34,0.38,18.4,Backpack,2020,Q2,Apr,Sat,7,Spain,paypall,Stationery,DHL,Berlin,24.94371351
4.74,0.19,18.08,Backpack,2020,Q2,Apr,Sun,9,United Kingdom,Bank Transfer,Electronics,Royal Mail,Berlin,24.94371351
43.23,0.16,8.68,Backpack,2020,Q2,Jun,Sat,6,Norway,Credit Card,Stationery,FedEx,London,24.94371351
83.23,0.01,11.18,Backpack,2020,Q3,Jul,Sat,8,Belgium,paypall,Stationery,Royal Mail,London,24.94371351
6.56,0.27,10.29,Backpack,2020,Q4,Oct,Tue,16,Spain,paypall,Electronics,DHL,London,24.94371351
9.64,0.27,29.27,Backpack,2021,Q2,Jun,Thu,0,Germany,paypall,Electronics,DHL,London,24.94371351
58.06,0.06,22.51,Backpack,2021,Q3,Aug,Wed,18,United States,Bank Transfer,Electronics,FedEx,Rome,24.94371351
34.83,0.05,11.74,Backpack,2021,Q3,Sep,Wed,13,United Kingdom,Bank Transfer,Electronics,UPS,Rome,24.94371351
38.45,0.41,13.12,Backpack,2022,Q4,Dec,Mon,22,Portugal,Bank Transfer,Accessories,DHL,Rome,24.94371351
50.14,0.37,26.2,Backpack,2022,Q4,Nov,Sat,17,United States,Bank Transfer,Furniture,Royal Mail,Berlin,24.94371351
83.01,0.04,20.19,Backpack,2022,Q4,Nov,Tue,22,Belgium,Bank Transfer,Accessories,DHL,Rome,24.94371351
37.81,0.28,19.48,Backpack,2020,Q2,Apr,Fri,13,Netherlands,Credit Card,Stationery,DHL,Paris,24.94371351
31.71,0.47,13.67,Backpack,2020,Q2,May,Sun,6,Spain,Bank Transfer,Accessories,UPS,Berlin,24.94371351
61.47,0.37,21.55,Backpack,2020,Q3,Aug,Mon,17,France,Bank Transfer,Furniture,UPS,London,24.94371351
14.66,0.35,7.88,Backpack,2020,Q3,Jul,Mon,13,Norway,Bank Transfer,Apparel,Royal Mail,Paris,24.94371351
27.7,0.42,19.66,Backpack,2020,Q4,Dec,Wed,6,Norway,paypall,Stationery,DHL,Rome,24.94371351
61.13,0.01,18.62,Backpack,2020,Q4,Dec,Wed,22,Germany,Bank Transfer,Furniture,FedEx,London,24.94371351
20.51,0.14,27.29,Backpack,2020,Q4,Oct,Sat,18,Belgium,Bank Transfer,Stationery,FedEx,London,24.94371351
90.69,0.46,11.52,Backpack,2020,Q4,Oct,Thu,1,Norway,Bank Transfer,Stationery,Royal Mail,Berlin,24.94371351
9.68,0.32,20.39,Backpack,2021,Q2,Apr,Mon,19,Australia,Credit Card,Stationery,DHL,Rome,24.94371351
67.28,0.37,10.15,Backpack,2022,Q1,Jan,Thu,4,France,Bank Transfer,Apparel,UPS,Paris,24.94371351
55.81,0.04,27.46,Backpack,2022,Q4,Oct,Mon,23,Belgium,Credit Card,Electronics,FedEx,Amsterdam,24.94371351
45.46,0.15,18.31,Backpack,2020,Q1,Mar,Sun,13,Germany,paypall,Furniture,UPS,Amsterdam,24.94371351
14.18,0.07,10.32,Backpack,2020,Q3,Sep,Fri,7,Australia,paypall,Electronics,FedEx,Berlin,24.94371351
54.8,0.12,27.97,Backpack,2020,Q4,Dec,Sat,0,France,Bank Transfer,Stationery,UPS,Berlin,24.94371351
93.7,0.28,19.12,Backpack,2021,Q2,Jun,Tue,14,United States,paypall,Stationery,Royal Mail,Amsterdam,24.94371351
47.52,0.21,29.11,Backpack,2021,Q2,May,Fri,0,Sweden,Bank Transfer,Accessories,Royal Mail,Berlin,24.94371351
92.1,0.44,25.73,Backpack,2021,Q2,May,Sat,20,Germany,Bank Transfer,Furniture,UPS,Amsterdam,24.94371351
6.96,0.34,15.06,Backpack,2021,Q2,May,Tue,9,Germany,paypall,Furniture,FedEx,Berlin,24.94371351
27.53,0.01,13.36,Backpack,2022,Q1,Feb,Sat,5,France,paypall,Accessories,Royal Mail,Amsterdam,24.94371351
31.07,0.02,7.62,Backpack,2022,Q1,Mar,Sun,17,Norway,Credit Card,Electronics,FedEx,London,24.94371351
46.25,0.08,27.09,Backpack,2022,Q1,Mar,Tue,7,Germany,paypall,Furniture,UPS,Amsterdam,24.94371351
77.02,0.24,23.2,Backpack,2022,Q1,Mar,Tue,8,Italy,Credit Card,Accessories,UPS,London,24.94371351
63.58,0.03,22.28,Backpack,2022,Q2,Jun,Thu,7,Australia,Credit Card,Accessories,UPS,London,24.94371351
93.27,0.11,8.59,Backpack,2022,Q3,Aug,Fri,19,Germany,Bank Transfer,Apparel,FedEx,Berlin,24.94371351
83,0.26,12.63,Backpack,2022,Q3,Sep,Tue,5,Netherlands,Bank Transfer,Electronics,Royal Mail,Paris,24.94371351
21.7,0.4,15.96,Backpack,2022,Q4,Nov,Tue,6,Australia,Bank Transfer,Apparel,DHL,Rome,24.94371351
35.52,0.06,19.52,Backpack,2022,Q4,Nov,Wed,10,France,Credit Card,Apparel,FedEx,London,24.94371351
95.96,0.11,16.87,Backpack,2020,Q1,Mar,Tue,16,United States,Bank Transfer,Furniture,UPS,London,24.94371351
41.62,0.19,22.52,Backpack,2020,Q2,Apr,Sat,20,Belgium,Credit Card,Stationery,FedEx,London,24.94371351
21.24,0.42,24.54,Backpack,2020,Q2,Apr,Thu,5,Portugal,Bank Transfer,Furniture,UPS,Paris,24.94371351
30.83,0.44,22.48,Backpack,2021,Q2,Apr,Fri,19,Australia,Credit Card,Accessories,UPS,London,24.94371351
44.66,0.02,15.56,Backpack,2021,Q2,Jun,Tue,18,Norway,Credit Card,Stationery,UPS,Berlin,24.94371351
45.57,0.35,13.18,Backpack,2021,Q3,Jul,Sun,19,Netherlands,paypall,Stationery,FedEx,Amsterdam,24.94371351
76.83,0.07,28.73,Backpack,2022,Q4,Oct,Sat,2,United Kingdom,Bank Transfer,Accessories,FedEx,Paris,24.94371351
5.32,0,21.83,Backpack,2020,Q1,Jan,Mon,7,Sweden,paypall,Electronics,DHL,Rome,24.94371351
86.68,0.02,23.35,Backpack,2020,Q1,Jan,Thu,18,Australia,Bank Transfer,Accessories,Royal Mail,Berlin,24.94371351
30.37,0.06,9.46,Backpack,2020,Q1,Mar,Sun,18,Italy,paypall,Furniture,Royal Mail,London,24.94371351
58.13,0.47,27.06,Backpack,2020,Q2,Jun,Sat,14,United Kingdom,Credit Card,Accessories,UPS,Rome,24.94371351
23.97,0.44,22.68,Backpack,2020,Q3,Jul,Tue,6,Sweden,Bank Transfer,Furniture,Royal Mail,Paris,24.94371351
