Date,Year,Quarter,Month,Day,ProductName,Category,Quantity,Price,Discount,UnitsReturned,Location,Platform
2020/2/10,2020,Q1,February,10,Melatonin,Sleep Aid,146,15.54,0.11,0,Canada,Amazon
2020/2/10,2020,Q1,February,10,Biotin,Vitamin,142,24.61,0.23,2,UK,iHerb
2020/2/10,2020,Q1,February,10,Green Tea Extract,Fat Burner,162,58.14,0.18,1,UK,Walmart
2020/2/10,2020,Q1,February,10,Iron Supplement,Mineral,163,53.64,0.03,2,USA,Walmart
2020/2/10,2020,Q1,February,10,Electrolyte Powder,Hydration,151,22.09,0,1,USA,Amazon
2020/2/17,2020,Q1,February,17,Whey Protein,Protein,143,24.86,0.07,2,Canada,iHerb
2020/2/17,2020,Q1,February,17,Vitamin C,Vitamin,165,39.66,0.22,0,Canada,iHerb
2020/2/17,2020,Q1,February,17,Fish Oil,Omega,129,49.73,0.01,1,Canada,Walmart
2020/2/17,2020,Q1,February,17,Multivitamin,Vitamin,151,51.57,0.15,0,USA,Amazon
2020/2/17,2020,Q1,February,17,Pre-Workout,Performance,131,43.46,0.21,3,USA,Walmart
2020/2/17,2020,Q1,February,17,BCAA,Amino Acid,152,31.52,0.08,1,UK,Amazon
2020/2/17,2020,Q1,February,17,Creatine,Performance,160,54.63,0.11,2,UK,Amazon
2020/2/17,2020,Q1,February,17,Zinc,Mineral,155,45.13,0.06,1,USA,iHerb
2020/2/17,2020,Q1,February,17,Collagen Peptides,Protein,132,34.38,0.16,3,Canada,Walmart
2020/2/17,2020,Q1,February,17,Magnesium,Mineral,154,35.31,0.16,0,USA,Amazon
2020/2/17,2020,Q1,February,17,Ashwagandha,Herbal,141,33.62,0.01,0,USA,iHerb
2020/2/17,2020,Q1,February,17,Melatonin,Sleep Aid,144,19.8,0.15,1,USA,iHerb
2020/2/17,2020,Q1,February,17,Biotin,Vitamin,139,10.28,0,0,USA,Walmart
2020/2/17,2020,Q1,February,17,Green Tea Extract,Fat Burner,117,26.94,0.2,1,Canada,Amazon
2020/2/17,2020,Q1,February,17,Iron Supplement,Mineral,150,56.59,0.1,0,UK,Amazon
2020/2/17,2020,Q1,February,17,Electrolyte Powder,Hydration,154,27.26,0.13,3,Canada,Amazon
2020/2/24,2020,Q1,February,24,Whey Protein,Protein,150,59.64,0.03,1,UK,Walmart
2020/2/24,2020,Q1,February,24,Vitamin C,Vitamin,146,30.55,0.23,2,UK,iHerb
2020/2/24,2020,Q1,February,24,Fish Oil,Omega,154,51.19,0.24,3,USA,Amazon
2020/2/24,2020,Q1,February,24,Multivitamin,Vitamin,123,12.98,0.15,2,USA,Walmart
2020/2/24,2020,Q1,February,24,Pre-Workout,Performance,133,32.81,0.09,0,Canada,Amazon
2020/2/24,2020,Q1,February,24,BCAA,Amino Acid,147,13.55,0.02,1,UK,Amazon
2020/2/24,2020,Q1,February,24,Creatine,Performance,175,43.93,0.09,2,UK,Amazon
2020/2/24,2020,Q1,February,24,Zinc,Mineral,170,53.68,0.18,0,UK,iHerb
2020/2/24,2020,Q1,February,24,Collagen Peptides,Protein,169,36.7,0.04,0,Canada,iHerb
2020/2/24,2020,Q1,February,24,Magnesium,Mineral,147,34.3,0.14,0,UK,iHerb
2020/2/24,2020,Q1,February,24,Ashwagandha,Herbal,133,27.16,0.18,2,UK,iHerb
2020/2/24,2020,Q1,February,24,Melatonin,Sleep Aid,164,31.5,0.17,1,Canada,iHerb
2020/2/24,2020,Q1,February,24,Biotin,Vitamin,143,32.32,0.2,2,USA,iHerb
2020/2/24,2020,Q1,February,24,Green Tea Extract,Fat Burner,147,39.11,0.09,2,UK,iHerb
2020/2/24,2020,Q1,February,24,Iron Supplement,Mineral,158,28.73,0.04,1,UK,Amazon
2020/2/24,2020,Q1,February,24,Electrolyte Powder,Hydration,135,27.29,0.04,0,Canada,Amazon
2020/3/2,2020,Q1,March,2,Whey Protein,Protein,155,27.03,0.02,1,Canada,Amazon
2020/3/2,2020,Q1,March,2,Vitamin C,Vitamin,143,40.29,0.09,0,Canada,iHerb
2020/3/2,2020,Q1,March,2,Fish Oil,Omega,157,34.28,0.01,1,Canada,iHerb
2020/3/2,2020,Q1,March,2,Multivitamin,Vitamin,184,11.95,0.01,1,UK,iHerb
2020/3/2,2020,Q1,March,2,Pre-Workout,Performance,136,47.81,0.11,1,USA,Walmart
2020/3/2,2020,Q1,March,2,BCAA,Amino Acid,169,57.8,0.08,3,Canada,Amazon
2020/3/2,2020,Q1,March,2,Creatine,Performance,154,59.2,0.07,4,Canada,iHerb
2020/3/2,2020,Q1,March,2,Zinc,Mineral,146,27.02,0.14,0,UK,Amazon
2020/3/2,2020,Q1,March,2,Collagen Peptides,Protein,152,48.1,0.21,1,UK,Amazon
2020/3/2,2020,Q1,March,2,Magnesium,Mineral,143,19.73,0.01,1,USA,Amazon
2020/3/2,2020,Q1,March,2,Ashwagandha,Herbal,152,39.02,0.03,1,USA,Amazon
2020/3/2,2020,Q1,March,2,Melatonin,Sleep Aid,154,30.09,0.25,3,Canada,Amazon
2020/3/2,2020,Q1,March,2,Biotin,Vitamin,154,41.03,0.05,1,UK,Amazon
2020/3/2,2020,Q1,March,2,Green Tea Extract,Fat Burner,151,58.2,0.23,2,USA,Walmart
2020/3/2,2020,Q1,March,2,Iron Supplement,Mineral,151,16.53,0.2,0,UK,Amazon
2020/3/2,2020,Q1,March,2,Electrolyte Powder,Hydration,161,53.85,0.24,0,USA,Amazon
2020/3/9,2020,Q1,March,9,Whey Protein,Protein,149,34.17,0.22,2,USA,Walmart
2020/3/9,2020,Q1,March,9,Vitamin C,Vitamin,145,20.16,0.19,1,Canada,iHerb
2020/3/9,2020,Q1,March,9,Fish Oil,Omega,150,38.86,0.22,4,UK,Walmart
2020/3/9,2020,Q1,March,9,Multivitamin,Vitamin,147,48.23,0.14,4,UK,Walmart
2020/3/9,2020,Q1,March,9,Pre-Workout,Performance,138,52.7,0.11,3,Canada,Amazon
2020/3/9,2020,Q1,March,9,BCAA,Amino Acid,168,54.17,0.11,2,Canada,Amazon
2020/3/9,2020,Q1,March,9,Creatine,Performance,154,10.96,0.12,2,USA,Amazon
2020/3/9,2020,Q1,March,9,Zinc,Mineral,158,16.72,0.07,1,USA,iHerb
2020/3/9,2020,Q1,March,9,Collagen Peptides,Protein,162,20.54,0.24,0,UK,Amazon
2020/3/9,2020,Q1,March,9,Magnesium,Mineral,163,10.72,0.18,3,UK,iHerb
2020/3/9,2020,Q1,March,9,Ashwagandha,Herbal,159,47.67,0.19,2,Canada,iHerb
2020/3/9,2020,Q1,March,9,Melatonin,Sleep Aid,160,40.68,0.02,1,UK,Walmart
2020/3/9,2020,Q1,March,9,Biotin,Vitamin,128,30.36,0.02,1,USA,Walmart
2020/3/9,2020,Q1,March,9,Green Tea Extract,Fat Burner,132,57.38,0.02,3,USA,Amazon
2020/3/9,2020,Q1,March,9,Iron Supplement,Mineral,151,13.84,0.13,2,Canada,iHerb
2020/3/9,2020,Q1,March,9,Electrolyte Powder,Hydration,158,13.65,0.1,1,Canada,Amazon
2020/3/16,2020,Q1,March,16,Whey Protein,Protein,140,50.17,0.23,1,Canada,iHerb
2020/3/16,2020,Q1,March,16,Vitamin C,Vitamin,169,33.82,0.06,2,Canada,Walmart
2020/3/16,2020,Q1,March,16,Fish Oil,Omega,145,16.15,0.22,1,Canada,Amazon
2020/3/16,2020,Q1,March,16,Multivitamin,Vitamin,148,41.24,0.02,2,UK,Amazon
2020/3/16,2020,Q1,March,16,Pre-Workout,Performance,140,51.13,0.2,1,USA,Walmart
2020/3/16,2020,Q1,March,16,BCAA,Amino Acid,151,48.77,0.07,1,UK,Amazon
2020/3/16,2020,Q1,March,16,Creatine,Performance,142,41.48,0.01,2,Canada,Amazon
2020/3/16,2020,Q1,March,16,Zinc,Mineral,143,35.56,0.01,1,USA,Amazon
2020/3/16,2020,Q1,March,16,Collagen Peptides,Protein,158,51.97,0,1,Canada,iHerb
2020/3/16,2020,Q1,March,16,Magnesium,Mineral,159,15.09,0.09,1,Canada,iHerb
2020/3/16,2020,Q1,March,16,Ashwagandha,Herbal,164,49.45,0.22,1,Canada,iHerb
2020/3/16,2020,Q1,March,16,Melatonin,Sleep Aid,170,58.2,0.02,2,Canada,Amazon
2020/3/16,2020,Q1,March,16,Biotin,Vitamin,150,41.64,0.18,0,UK,iHerb
2020/3/16,2020,Q1,March,16,Green Tea Extract,Fat Burner,136,43.32,0.24,2,UK,Walmart
2020/3/16,2020,Q1,March,16,Iron Supplement,Mineral,178,24.9,0.03,3,UK,iHerb
2020/3/16,2020,Q1,March,16,Electrolyte Powder,Hydration,155,28,0.24,1,USA,Amazon
2020/3/23,2020,Q1,March,23,Whey Protein,Protein,148,20.44,0.09,1,UK,Walmart
2020/3/23,2020,Q1,March,23,Vitamin C,Vitamin,147,52.52,0.05,2,Canada,Amazon
2020/3/23,2020,Q1,March,23,Fish Oil,Omega,149,20.79,0.17,2,Canada,iHerb
2020/3/23,2020,Q1,March,23,Multivitamin,Vitamin,142,42.58,0.18,1,Canada,Amazon
2020/3/23,2020,Q1,March,23,Pre-Workout,Performance,155,45.66,0.05,3,Canada,Walmart
2020/3/23,2020,Q1,March,23,BCAA,Amino Acid,142,12.9,0.03,1,UK,Walmart
2020/3/23,2020,Q1,March,23,Creatine,Performance,141,10.73,0.09,1,UK,iHerb
2020/3/23,2020,Q1,March,23,Zinc,Mineral,147,30.21,0.13,2,UK,Amazon
2020/3/23,2020,Q1,March,23,Collagen Peptides,Protein,156,48.7,0.19,1,Canada,Amazon
2020/3/23,2020,Q1,March,23,Magnesium,Mineral,162,23.28,0,1,UK,iHerb
2020/3/23,2020,Q1,March,23,Ashwagandha,Herbal,160,27.4,0.09,0,USA,Amazon
2020/3/23,2020,Q1,March,23,Melatonin,Sleep Aid,143,58.71,0.21,0,Canada,iHerb
2020/3/23,2020,Q1,March,23,Biotin,Vitamin,168,49.02,0.11,1,USA,Amazon
2020/3/23,2020,Q1,March,23,Green Tea Extract,Fat Burner,143,21.41,0.06,1,Canada,Amazon
2020/3/23,2020,Q1,March,23,Iron Supplement,Mineral,159,12.89,0.24,4,USA,Amazon
2020/3/23,2020,Q1,March,23,Electrolyte Powder,Hydration,151,13.78,0.09,1,UK,Amazon
2020/3/30,2020,Q1,March,30,Whey Protein,Protein,138,41.12,0.2,1,Canada,iHerb
2020/3/30,2020,Q1,March,30,Vitamin C,Vitamin,135,41.8,0.1,2,Canada,Amazon
2020/3/30,2020,Q1,March,30,Fish Oil,Omega,141,55.87,0.07,1,USA,Amazon
2020/3/30,2020,Q1,March,30,Multivitamin,Vitamin,168,13.11,0.04,0,UK,Amazon
2020/3/30,2020,Q1,March,30,Pre-Workout,Performance,155,16.71,0.24,1,USA,Amazon
2020/3/30,2020,Q1,March,30,BCAA,Amino Acid,140,43.98,0.02,1,UK,Walmart
2020/3/30,2020,Q1,March,30,Creatine,Performance,162,37.33,0.11,0,USA,Amazon
2020/3/30,2020,Q1,March,30,Zinc,Mineral,136,20.46,0.01,2,USA,Amazon
2020/3/30,2020,Q1,March,30,Collagen Peptides,Protein,165,58.03,0.05,4,Canada,iHerb
2020/3/30,2020,Q1,March,30,Magnesium,Mineral,141,39.68,0.02,2,UK,iHerb
2020/3/30,2020,Q1,March,30,Ashwagandha,Herbal,160,33.85,0.18,1,USA,Walmart
2020/3/30,2020,Q1,March,30,Melatonin,Sleep Aid,155,18.13,0.14,2,UK,iHerb
2020/3/30,2020,Q1,March,30,Biotin,Vitamin,150,10.45,0.09,3,UK,Amazon
2020/3/30,2020,Q1,March,30,Green Tea Extract,Fat Burner,140,21.1,0.08,3,USA,iHerb
2020/3/30,2020,Q1,March,30,Iron Supplement,Mineral,158,31.44,0.01,1,UK,iHerb
2020/3/30,2020,Q1,March,30,Electrolyte Powder,Hydration,156,24.44,0.1,3,USA,Amazon
2020/4/6,2020,Q2,April,6,Whey Protein,Protein,160,29.62,0.19,3,UK,iHerb
2020/4/6,2020,Q2,April,6,Vitamin C,Vitamin,178,27.86,0.2,1,UK,Walmart
2020/4/6,2020,Q2,April,6,Fish Oil,Omega,152,42.83,0.06,0,USA,Amazon
2020/4/6,2020,Q2,April,6,Multivitamin,Vitamin,171,35.3,0.06,0,USA,Amazon
2020/4/6,2020,Q2,April,6,Pre-Workout,Performance,116,53.34,0.07,3,UK,Walmart
2020/4/6,2020,Q2,April,6,BCAA,Amino Acid,153,39,0.13,2,USA,Walmart
2020/4/6,2020,Q2,April,6,Creatine,Performance,142,54.7,0.24,3,USA,Walmart
2020/4/6,2020,Q2,April,6,Zinc,Mineral,147,33.82,0.12,0,Canada,Amazon
2020/4/6,2020,Q2,April,6,Collagen Peptides,Protein,153,26.58,0.21,0,Canada,iHerb
2020/4/6,2020,Q2,April,6,Magnesium,Mineral,127,57.04,0.13,1,Canada,iHerb
2020/4/6,2020,Q2,April,6,Ashwagandha,Herbal,162,26.61,0.17,2,Canada,Amazon
2020/4/6,2020,Q2,April,6,Melatonin,Sleep Aid,156,53.79,0.13,1,USA,iHerb
2020/4/6,2020,Q2,April,6,Biotin,Vitamin,147,16.39,0.19,0,UK,Amazon
2020/4/6,2020,Q2,April,6,Green Tea Extract,Fat Burner,147,12.73,0.24,0,UK,Walmart
2020/4/6,2020,Q2,April,6,Iron Supplement,Mineral,143,21.52,0,2,USA,Amazon
2020/4/6,2020,Q2,April,6,Electrolyte Powder,Hydration,185,43.15,0.19,3,UK,iHerb
2020/4/13,2020,Q2,April,13,Whey Protein,Protein,147,26.26,0.18,2,Canada,Walmart
2020/4/13,2020,Q2,April,13,Vitamin C,Vitamin,137,55.1,0.2,4,USA,Walmart
2020/4/13,2020,Q2,April,13,Fish Oil,Omega,160,39.53,0.17,0,USA,iHerb
2020/4/13,2020,Q2,April,13,Multivitamin,Vitamin,151,18.37,0.2,2,USA,Amazon
2020/4/13,2020,Q2,April,13,Pre-Workout,Performance,178,23.27,0.15,1,USA,Amazon
2020/4/13,2020,Q2,April,13,BCAA,Amino Acid,158,15.13,0.13,1,Canada,iHerb
2020/4/13,2020,Q2,April,13,Creatine,Performance,145,51.38,0.17,2,UK,Walmart
2020/4/13,2020,Q2,April,13,Zinc,Mineral,149,44.73,0.18,3,Canada,Amazon
2020/4/13,2020,Q2,April,13,Collagen Peptides,Protein,142,19.76,0.09,1,USA,Amazon
2020/4/13,2020,Q2,April,13,Magnesium,Mineral,157,38.1,0.24,1,UK,iHerb
2020/4/13,2020,Q2,April,13,Ashwagandha,Herbal,146,49.31,0.18,1,Canada,iHerb
2020/4/13,2020,Q2,April,13,Melatonin,Sleep Aid,140,50.86,0.14,4,Canada,Walmart
2020/4/13,2020,Q2,April,13,Biotin,Vitamin,123,45.92,0.22,0,UK,Amazon
2020/4/13,2020,Q2,April,13,Green Tea Extract,Fat Burner,162,29.83,0.03,3,USA,Amazon
2020/4/13,2020,Q2,April,13,Iron Supplement,Mineral,136,24.5,0.22,2,Canada,Walmart
2020/4/13,2020,Q2,April,13,Electrolyte Powder,Hydration,162,41.24,0.14,3,USA,Walmart
2020/4/20,2020,Q2,April,20,Whey Protein,Protein,169,43.7,0.01,2,USA,Walmart
2020/4/20,2020,Q2,April,20,Vitamin C,Vitamin,142,27.65,0.16,1,Canada,iHerb
2020/4/20,2020,Q2,April,20,Fish Oil,Omega,159,13.42,0.2,1,UK,iHerb
2020/4/20,2020,Q2,April,20,Multivitamin,Vitamin,148,26.62,0.01,1,USA,Amazon
2020/4/20,2020,Q2,April,20,Pre-Workout,Performance,176,43.57,0.16,1,USA,Walmart
2020/4/20,2020,Q2,April,20,BCAA,Amino Acid,147,15.07,0.07,1,USA,iHerb
2020/4/20,2020,Q2,April,20,Creatine,Performance,148,13.38,0.13,0,Canada,Walmart
2020/4/20,2020,Q2,April,20,Zinc,Mineral,188,30.18,0.18,2,USA,iHerb
2020/4/20,2020,Q2,April,20,Collagen Peptides,Protein,147,29.88,0.07,0,USA,iHerb
2020/4/20,2020,Q2,April,20,Magnesium,Mineral,149,24.37,0.16,4,USA,Amazon
2020/4/20,2020,Q2,April,20,Ashwagandha,Herbal,154,13.78,0.24,1,Canada,Amazon
2020/4/20,2020,Q2,April,20,Melatonin,Sleep Aid,130,41.18,0.16,0,USA,Amazon
2020/4/20,2020,Q2,April,20,Biotin,Vitamin,141,45.33,0.15,1,UK,Amazon
2020/4/20,2020,Q2,April,20,Green Tea Extract,Fat Burner,141,53.3,0.24,0,UK,Amazon
2020/4/20,2020,Q2,April,20,Iron Supplement,Mineral,159,20.13,0.15,2,USA,iHerb
2020/4/20,2020,Q2,April,20,Electrolyte Powder,Hydration,157,10.77,0.15,1,UK,Amazon
2020/4/27,2020,Q2,April,27,Whey Protein,Protein,148,29.95,0.21,0,USA,Amazon
2020/4/27,2020,Q2,April,27,Vitamin C,Vitamin,131,31.68,0.02,2,USA,iHerb
2020/4/27,2020,Q2,April,27,Fish Oil,Omega,170,22.94,0.11,2,Canada,iHerb
2020/4/27,2020,Q2,April,27,Multivitamin,Vitamin,154,22.1,0.18,0,USA,Walmart
2020/4/27,2020,Q2,April,27,Pre-Workout,Performance,138,46.94,0,0,UK,Walmart
2020/4/27,2020,Q2,April,27,BCAA,Amino Acid,139,22.38,0.02,1,USA,Walmart
2020/4/27,2020,Q2,April,27,Creatine,Performance,159,43.64,0.02,4,Canada,Amazon
2020/4/27,2020,Q2,April,27,Zinc,Mineral,164,51.15,0.23,2,USA,iHerb
2020/4/27,2020,Q2,April,27,Collagen Peptides,Protein,138,47.14,0.18,1,UK,iHerb
2020/4/27,2020,Q2,April,27,Magnesium,Mineral,127,56.04,0.15,1,Canada,Walmart
2020/4/27,2020,Q2,April,27,Ashwagandha,Herbal,141,54.77,0.17,2,UK,Walmart
2020/4/27,2020,Q2,April,27,Melatonin,Sleep Aid,148,22.42,0.18,1,Canada,Walmart
2020/4/27,2020,Q2,April,27,Biotin,Vitamin,148,56.81,0.02,3,UK,Walmart
2020/4/27,2020,Q2,April,27,Green Tea Extract,Fat Burner,142,11.1,0.08,1,Canada,iHerb
2020/4/27,2020,Q2,April,27,Iron Supplement,Mineral,124,56.36,0.03,2,Canada,Walmart
2020/4/27,2020,Q2,April,27,Electrolyte Powder,Hydration,147,23.01,0.04,0,Canada,iHerb
2020/5/4,2020,Q2,May,4,Whey Protein,Protein,127,43.21,0.22,2,Canada,iHerb
2020/5/4,2020,Q2,May,4,Vitamin C,Vitamin,157,24.46,0.08,1,UK,iHerb
